ngram,phish_count,clean_count,phish_freq,clean_freq,phish_score
that they,140,1002,0.000143554,0.000356229,-0.904724977
form of,62,445,6.357389901798833e-05,0.000158206,-0.902386337
for un,88,629,9.023392118682215e-05,0.000223621,-0.900987718
a list,75,536,7.690391010240524e-05,0.000190558,-0.899713395
10 00,82,583,8.408160837862974e-05,0.000207267,-0.895210731
1 00,50,357,5.12692734016035e-05,0.00012692,-0.89499654
for those,71,501,7.280236823027697e-05,0.000178115,-0.886635289
terms of,100,698,0.000102539,0.000248152,-0.87811817
will take,88,614,9.023392118682215e-05,0.000218288,-0.876960145
has to,53,371,5.434542980569971e-05,0.000131897,-0.875982386
a more,65,452,6.665005542208455e-05,0.000160694,-0.87135907
which is,219,1511,0.000224559,0.000537188,-0.86962451
subscription information,93,643,9.53608485269825e-05,0.000228598,-0.868231036
as follows,50,347,5.12692734016035e-05,0.000123365,-0.866810797
i believe,77,527,7.895468103846938e-05,0.000187358,-0.856885089
the general,59,403,6.0497742613892126e-05,0.000143274,-0.852712838
used in,58,396,5.9472357145860055e-05,0.000140785,-0.852127116
information about,137,922,0.000140478,0.000327788,-0.843269804
me that,66,446,6.767544089011662e-05,0.000158561,-0.84303556
of new,87,581,8.920853571879009e-05,0.000206556,-0.83327767
that would,80,534,8.20308374425656e-05,0.000189847,-0.832258696
1px solid,53,355,5.434542980569971e-05,0.000126209,-0.832237193
have some,53,355,5.434542980569971e-05,0.000126209,-0.832237193
found in,50,335,5.12692734016035e-05,0.000119099,-0.831904538
which has,56,369,5.742158620979592e-05,0.000131186,-0.816526389
if the,164,1070,0.000168163,0.000380405,-0.812996579
of course,133,863,0.000136376,0.000306812,-0.806766425
rest of,78,506,7.998006650650145e-05,0.000179892,-0.803698476
a variety,50,325,5.12692734016035e-05,0.000115543,-0.801855356
1 the,50,324,5.12692734016035e-05,0.000115188,-0.798800172
the current,102,656,0.000104589,0.00023322,-0.79670356
are available,72,460,7.382775369830904e-05,0.000163538,-0.787955136
be of,68,432,6.972621182618076e-05,0.000153584,-0.78192068
be in,123,775,0.000126122,0.000275527,-0.77715672
or the,122,768,0.000125097,0.000273038,-0.776215218
which the,69,435,7.075159729421283e-05,0.00015465,-0.774402643
a second,58,364,5.9472357145860055e-05,0.000129409,-0.768486618
acquisition of,73,457,7.485313916634111e-05,0.000162472,-0.767841697
trying to,131,817,0.000134325,0.000290458,-0.767214404
the development,90,560,9.228469212288629e-05,0.00019909,-0.763112386
well as,271,1678,0.000277879,0.00059656,-0.762074459
at the,1036,6383,0.001062299,0.002269273,-0.758523464
in these,53,329,5.434542980569971e-05,0.000116966,-0.756798202
i would,348,2140,0.000356834,0.000760809,-0.755626393
for further,138,842,0.000141503,0.000299346,-0.74557199
did nt,56,343,5.742158620979592e-05,0.000121943,-0.744033474
as well,369,2242,0.000378367,0.000797072,-0.743694057
since the,84,512,8.613237931469388e-05,0.000182025,-0.742196115
later than,52,316,5.3320044337667636e-05,0.000112344,-0.735532131
view of,52,314,5.3320044337667636e-05,0.000111633,-0.729239097
which was,51,308,5.2294658869635565e-05,0.0001095,-0.729176017
but i,231,1382,0.000236864,0.000491326,-0.727442329
or other,57,343,5.8446971677827984e-05,0.000121943,-0.72663424
most of,138,826,0.000141503,0.000293658,-0.726451241
does nt,72,432,7.382775369830904e-05,0.000153584,-0.725548076
that a,134,801,0.000137402,0.00028477,-0.725027764
aol com,62,372,6.357389901798833e-05,0.000132253,-0.724437748
during the,143,854,0.00014663,0.000303613,-0.724330832
system and,55,330,5.639620074176385e-05,0.000117321,-0.723423392
level of,59,353,6.0497742613892126e-05,0.000125498,-0.721225616
as they,73,436,7.485313916634111e-05,0.000155006,-0.721095145
is this,58,347,5.9472357145860055e-05,0.000123365,-0.721033135
than the,100,595,0.000102539,0.000211533,-0.719155026
i do,153,907,0.000156884,0.000322455,-0.71719977
has not,64,381,6.562466995405247e-05,0.000135452,-0.716901341
but it,130,763,0.0001333,0.00027126,-0.706682167
what is,153,896,0.000156884,0.000318544,-0.705035687
name of,86,504,8.818315025075802e-05,0.000179181,-0.703270921
both the,50,294,5.12692734016035e-05,0.000104522,-0.702514278
a quick,61,358,6.254851354995626e-05,0.000127276,-0.702376992
which will,80,468,8.20308374425656e-05,0.000166383,-0.701069827
any questions,180,1045,0.000184569,0.000371517,-0.696852716
to run,50,292,5.12692734016035e-05,0.000103811,-0.695753219
that if,59,344,6.0497742613892126e-05,0.000122298,-0.695606019
there were,53,309,5.434542980569971e-05,0.000109855,-0.694630254
would not,68,394,6.972621182618076e-05,0.000140074,-0.690469718
am not,50,289,5.12692734016035e-05,0.000102745,-0.685525141
out that,55,317,5.639620074176385e-05,0.000112699,-0.683579046
last year,67,383,6.870082635814869e-05,0.000136163,-0.67696144
try to,91,517,9.331007759091836e-05,0.000183803,-0.672702035
of which,74,420,7.587852463437317e-05,0.000149318,-0.670524291
he has,60,341,6.15231280819242e-05,0.000121232,-0.67038212
that he,94,531,9.638623399501458e-05,0.00018878,-0.66718169
that the,835,4685,0.000856197,0.001665603,-0.664875139
in his,82,461,8.408160837862974e-05,0.000163894,-0.661691466
which i,89,497,9.125930665485422e-05,0.000176693,-0.655451804
by a,195,1085,0.00019995,0.000385737,-0.65468875
los angeles,65,363,6.665005542208455e-05,0.000129053,-0.653594889
a single,92,512,9.433546305895043e-05,0.000182025,-0.652222817
web page,63,351,6.45992844860204e-05,0.000124787,-0.651024506
respond to,61,339,6.254851354995626e-05,0.000120521,-0.648280946
and an,87,481,8.920853571879009e-05,0.000171004,-0.64539534
responsible for,62,342,6.357389901798833e-05,0.000121587,-0.641012706
this week,94,513,9.638623399501458e-05,0.000182381,-0.632880382
who is,86,468,8.818315025075802e-05,0.000166383,-0.629589778
their own,108,586,0.000110742,0.000208334,-0.627740311
of a,824,4435,0.000844918,0.001576724,-0.623316284
the same,475,2553,0.000487058,0.000907638,-0.62151247
account of,56,300,5.742158620979592e-05,0.000106655,-0.611250677
attention to,67,358,6.870082635814869e-05,0.000127276,-0.609968426
thanks to,84,445,8.613237931469388e-05,0.000158206,-0.602768062
not yet,60,318,6.15231280819242e-05,0.000113055,-0.601142571
up a,58,307,5.9472357145860055e-05,0.000109144,-0.599603223
the city,58,307,5.9472357145860055e-05,0.000109144,-0.599603223
attempt to,56,296,5.742158620979592e-05,0.000105233,-0.597953174
please call,65,343,6.665005542208455e-05,0.000121943,-0.597370749
knowledge of,70,369,7.17769827622449e-05,0.000131186,-0.596812103
if i,163,854,0.000167138,0.000303613,-0.594256734
used to,149,779,0.000152782,0.000276949,-0.591897826
with other,66,346,6.767544089011662e-05,0.000123009,-0.590965071
to ask,57,299,5.8446971677827984e-05,0.0001063,-0.590543607
the international,67,351,6.870082635814869e-05,0.000124787,-0.590377121
of such,55,288,5.639620074176385e-05,0.000102389,-0.588522981
on a,536,2782,0.000549607,0.000989052,-0.586736681
would have,127,660,0.000130224,0.000234642,-0.585408499
there was,100,520,0.000102539,0.000184869,-0.585100828
details of,61,318,6.254851354995626e-05,0.000113055,-0.584875502
should have,62,323,6.357389901798833e-05,0.000114832,-0.584334028
how many,53,276,5.434542980569971e-05,9.812304131655525e-05,-0.582767833
each other,51,265,5.2294658869635565e-05,9.421234039451861e-05,-0.580273442
was a,166,857,0.000170214,0.000304679,-0.57962187
how do,54,280,5.537081527373178e-05,9.954511437911402e-05,-0.578654961
a time,57,295,5.8446971677827984e-05,0.000104878,-0.577201751
with some,51,264,5.2294658869635565e-05,9.385682212887892e-05,-0.576532502
for their,76,392,7.792929557043731e-05,0.000139363,-0.575680606
of each,62,320,6.357389901798833e-05,0.000113766,-0.575083633
include a,80,410,8.20308374425656e-05,0.000145762,-0.569603484
is it,121,619,0.000124072,0.000220066,-0.569573718
the first,506,2581,0.000518845,0.000917593,-0.569311983
this year,138,705,0.000141503,0.00025064,-0.568636576
the one,93,474,9.53608485269825e-05,0.000168516,-0.564845316
will continue,66,337,6.767544089011662e-05,0.00011981,-0.56482456
about the,454,2294,0.000465525,0.000815559,-0.559787434
number of,396,1994,0.000406053,0.000708903,-0.556186408
as an,178,897,0.000182519,0.0003189,-0.555691988
so we,53,268,5.434542980569971e-05,9.527889519143769e-05,-0.553655051
it was,343,1722,0.000351707,0.000612202,-0.553056853
the day,88,442,9.023392118682215e-05,0.000157139,-0.550048087
that it,315,1573,0.000322996,0.00055923,-0.547615354
in a,967,4824,0.000991548,0.00171502,-0.547487881
be very,53,266,5.434542980569971e-05,9.456785866015831e-05,-0.54624247
in many,52,261,5.3320044337667636e-05,9.279026733195984e-05,-0.546167791
and its,149,744,0.000152782,0.000264506,-0.546097052
behalf of,75,375,7.690391010240524e-05,0.000133319,-0.544744025
of information,90,447,9.228469212288629e-05,0.000158917,-0.538996811
if they,116,574,0.000118945,0.000204067,-0.536308195
because it,70,347,7.17769827622449e-05,0.000123365,-0.535819755
systems and,50,247,5.12692734016035e-05,8.781301161300415e-05,-0.530124475
to bring,98,482,0.000100488,0.00017136,-0.529645819
be the,186,913,0.000190722,0.000324588,-0.529588495
i hope,110,540,0.000112792,0.00019198,-0.5282101
on an,54,266,5.537081527373178e-05,9.456785866015831e-05,-0.527884992
range of,114,559,0.000116894,0.000198735,-0.527204603
0 0,143,700,0.00014663,0.000248863,-0.526201942
2 the,55,270,5.639620074176385e-05,9.598993172271708e-05,-0.524629064
will also,144,703,0.000147656,0.000249929,-0.52353979
a call,65,318,6.665005542208455e-05,0.000113055,-0.522330935
wall street,98,478,0.000100488,0.000169938,-0.521360987
and to,208,1010,0.00021328,0.000359073,-0.519023635
i also,58,283,5.9472357145860055e-05,0.000100612,-0.518972029
is more,68,331,6.972621182618076e-05,0.000117677,-0.51758544
may have,137,664,0.000140478,0.000236064,-0.51618781
i ll,123,596,0.000126122,0.000211889,-0.515619868
but we,69,334,7.075159729421283e-05,0.000118743,-0.512138504
limited to,108,521,0.000110742,0.000185225,-0.510766372
when we,55,266,5.639620074176385e-05,9.456785866015831e-05,-0.509858445
to register,64,309,6.562466995405247e-05,0.000109855,-0.509149412
be given,59,285,6.0497742613892126e-05,0.000101323,-0.509131132
to review,52,251,5.3320044337667636e-05,8.923508467556292e-05,-0.507525017
of its,201,964,0.000206102,0.00034272,-0.506612493
how we,55,265,5.639620074176385e-05,9.421234039451861e-05,-0.506131447
was not,96,460,9.843700493107872e-05,0.000163538,-0.503619664
had a,113,541,0.000115869,0.000192335,-0.503376543
take the,82,393,8.408160837862974e-05,0.000139719,-0.503151814
1 2,197,941,0.000202001,0.000334543,-0.502538589
in and,54,259,5.537081527373178e-05,9.207923080068046e-05,-0.50149951
up in,57,273,5.8446971677827984e-05,9.705648651963616e-05,-0.500459023
and email,98,468,0.000100488,0.000166383,-0.500343545
say that,64,306,6.562466995405247e-05,0.000108789,-0.499481672
had been,80,382,8.20308374425656e-05,0.000135808,-0.499366244
used for,59,282,6.0497742613892126e-05,0.000100256,-0.498652985
the following,830,3943,0.00085107,0.001401809,-0.498562982
can be,665,3158,0.000681881,0.001122727,-0.498084731
will be,2374,11263,0.002434265,0.004004202,-0.497538451
members of,118,561,0.000120995,0.000199446,-0.496559584
to announce,75,357,7.690391010240524e-05,0.00012692,-0.495929086
be a,387,1832,0.000396824,0.000651309,-0.494508946
after the,164,775,0.000168163,0.000275527,-0.491443192
i could,92,435,9.433546305895043e-05,0.00015465,-0.490210898
at all,124,584,0.000127148,0.000207623,-0.48734293
have any,251,1180,0.000257372,0.000419512,-0.487072506
years ago,83,391,8.510699384666181e-05,0.000139008,-0.486106368
the three,50,236,5.12692734016035e-05,8.390231069096753e-05,-0.485092618
give me,52,245,5.3320044337667636e-05,8.710197508172476e-05,-0.483601652
they would,55,259,5.639620074176385e-05,9.207923080068046e-05,-0.483472963
they were,101,474,0.000103564,0.000168516,-0.483146623
the last,204,954,0.000209179,0.000339164,-0.481471291
way of,68,319,6.972621182618076e-05,0.00011341,-0.480975092
for these,56,263,5.742158620979592e-05,9.350130386323923e-05,-0.480928183
the end,198,924,0.000203026,0.000328499,-0.479323929
p m,151,705,0.000154833,0.00025064,-0.479214753
to me,253,1180,0.000259423,0.000419512,-0.479166553
are in,121,565,0.000124072,0.000200868,-0.478726421
use a,53,248,5.434542980569971e-05,8.816852987864384e-05,-0.476934087
a special,117,545,0.00011997,0.000193757,-0.476211557
as it,125,582,0.000128173,0.000206912,-0.475959125
that are,189,878,0.000193798,0.000312145,-0.474704089
a short,85,395,8.715776478272595e-05,0.00014043,-0.472674888
not the,135,625,0.000138427,0.000222199,-0.470521933
with it,54,251,5.537081527373178e-05,8.923508467556292e-05,-0.470466752
3 1,53,246,5.434542980569971e-05,8.745749334736445e-05,-0.468928049
we would,151,695,0.000154833,0.000247085,-0.464985973
and that,214,984,0.000219432,0.00034983,-0.464710219
not have,110,506,0.000112792,0.000179892,-0.46352576
is in,185,848,0.000189696,0.000301479,-0.4613313
hong kong,64,294,6.562466995405247e-05,0.000104522,-0.459848041
questions or,63,289,6.45992844860204e-05,0.000102745,-0.458369044
some of,312,1423,0.00031992,0.000505902,-0.457125962
when it,64,293,6.562466995405247e-05,0.000104167,-0.456473225
10 minutes,50,229,5.12692734016035e-05,8.141368283148968e-05,-0.455342785
do nt,329,1495,0.000337352,0.0005315,-0.453496297
in their,148,673,0.000151757,0.000239264,-0.45288871
to talk,54,246,5.537081527373178e-05,8.745749334736445e-05,-0.450570571
on their,75,341,7.690391010240524e-05,0.000121232,-0.450442512
continue to,127,576,0.000130224,0.000204779,-0.44989501
about how,55,250,5.639620074176385e-05,8.887956640992322e-05,-0.448492511
i thought,67,304,6.870082635814869e-05,0.000108078,-0.447846949
and he,71,322,7.280236823027697e-05,0.000114477,-0.447679529
collection of,56,254,5.742158620979592e-05,9.0301639472482e-05,-0.446483296
payable to,64,290,6.562466995405247e-05,0.0001031,-0.4462799
the european,75,339,7.690391010240524e-05,0.000120521,-0.444608408
an additional,69,312,7.075159729421283e-05,0.000110922,-0.444589393
up with,122,550,0.000125097,0.000195535,-0.4437891
know the,60,271,6.15231280819242e-05,9.634544998835677e-05,-0.442729454
mailing address,54,244,5.537081527373178e-05,8.674645681608507e-05,-0.442499918
list of,250,1123,0.000256346,0.000399247,-0.441658978
is that,367,1647,0.000376316,0.000585539,-0.441154182
next week,94,423,9.638623399501458e-05,0.000150384,-0.441136285
po box,89,400,9.125930665485422e-05,0.000142207,-0.439690112
how the,85,382,8.715776478272595e-05,0.000135808,-0.439450327
believe that,109,489,0.000111767,0.000173848,-0.43859561
and what,80,359,8.20308374425656e-05,0.000127631,-0.437736212
now available,76,341,7.792929557043731e-05,0.000121232,-0.437366199
this and,85,381,8.715776478272595e-05,0.000135452,-0.436848279
here are,71,318,7.280236823027697e-05,0.000113055,-0.435288288
this time,58,260,5.9472357145860055e-05,9.243474906632015e-05,-0.435076968
using a,85,380,8.715776478272595e-05,0.000135097,-0.434239442
available on,84,375,8.613237931469388e-05,0.000133319,-0.432791607
of the,7152,31742,0.007333557,0.011284860787935133,-0.430953688
1 1,72,321,7.382775369830904e-05,0.000114121,-0.43079805
it can,93,414,9.53608485269825e-05,0.000147185,-0.430358554
if a,54,241,5.537081527373178e-05,8.567990201916599e-05,-0.430270481
which can,50,223,5.12692734016035e-05,7.928057323765152e-05,-0.429118973
to understand,64,285,6.562466995405247e-05,0.000101323,-0.429056672
this issue,72,320,7.382775369830904e-05,0.000113766,-0.427705067
of other,65,289,6.665005542208455e-05,0.000102745,-0.427585659
a way,90,399,9.228469212288629e-05,0.000141852,-0.426151622
and some,63,279,6.45992844860204e-05,9.918959611347433e-05,-0.423499563
the major,68,301,6.972621182618076e-05,0.000107011,-0.423416803
nt have,51,226,5.2294658869635565e-05,8.03471280345706e-05,-0.422889412
s not,61,270,6.254851354995626e-05,9.598993172271708e-05,-0.422803569
is available,119,525,0.000122021,0.000186647,-0.422208994
according to,209,920,0.000214306,0.000327077,-0.421189499
tr td,103,452,0.000105615,0.000160694,-0.416485813
and the,1814,7923,0.001860049,0.002816771,-0.414805789
is going,73,320,7.485313916634111e-05,0.000113766,-0.414094831
the way,200,870,0.000205077,0.000309301,-0.409292104
my own,66,287,6.767544089011662e-05,0.000102034,-0.405664877
for one,63,274,6.45992844860204e-05,9.741200478527585e-05,-0.405598008
include the,88,382,9.023392118682215e-05,0.000135808,-0.405151548
they have,135,585,0.000138427,0.000207978,-0.40468843
such as,464,2006,0.000475779,0.00071317,-0.404067755
and there,87,377,8.920853571879009e-05,0.00013403,-0.403375782
out there,78,338,7.998006650650145e-05,0.000120165,-0.402951655
after a,59,256,6.0497742613892126e-05,9.101267600376138e-05,-0.402925882
wants to,63,273,6.45992844860204e-05,9.705648651963616e-05,-0.401978917
me know,349,1506,0.00035786,0.000535411,-0.401968715
for both,71,307,7.280236823027697e-05,0.000109144,-0.400398756
variety of,121,522,0.000124072,0.000185581,-0.399976261
the value,62,268,6.357389901798833e-05,9.527889519143769e-05,-0.399438849
lots of,59,255,6.0497742613892126e-05,9.065715773812169e-05,-0.399054601
but if,66,285,6.767544089011662e-05,0.000101323,-0.398739949
we could,53,229,5.434542980569971e-05,8.141368283148968e-05,-0.39815739
them to,140,602,0.000143554,0.000214022,-0.397087428
out in,55,237,5.639620074176385e-05,8.425782895660722e-05,-0.395701835
and so,89,382,9.125930665485422e-05,0.000135808,-0.393975155
i get,76,326,7.792929557043731e-05,0.000115899,-0.392757467
those who,176,752,0.000180468,0.00026735,-0.391212653
on its,56,240,5.742158620979592e-05,8.53243837535263e-05,-0.390426656
and in,185,788,0.000189696,0.000280148,-0.388200449
on behalf,74,316,7.587852463437317e-05,0.000112344,-0.388198856
they are,360,1531,0.000369139,0.000544298,-0.387455301
days of,51,218,5.2294658869635565e-05,7.750298190945306e-05,-0.387300493
its not,53,226,5.434542980569971e-05,8.03471280345706e-05,-0.385131442
the difference,50,213,5.12692734016035e-05,7.572539058125459e-05,-0.383823999
for an,150,634,0.000153808,0.000225399,-0.380112598
who has,64,271,6.562466995405247e-05,9.634544998835677e-05,-0.379191063
where we,69,292,7.075159729421283e-05,0.000103811,-0.378951794
a problem,65,275,6.665005542208455e-05,9.776752305091554e-05,-0.378420663
by an,58,245,5.9472357145860055e-05,8.710197508172476e-05,-0.376308597
gas and,64,270,6.562466995405247e-05,9.598993172271708e-05,-0.375532248
to meet,100,421,0.000102539,0.000149673,-0.375169209
copy of,202,849,0.000207128,0.000301835,-0.375035503
to a,592,2485,0.000607028,0.000883463,-0.374759299
enough to,61,257,6.254851354995626e-05,9.136819426940107e-05,-0.373979094
interested in,356,1492,0.000365037,0.000530433,-0.372842566
that have,104,436,0.00010664,0.000155006,-0.371101086
because of,166,695,0.000170214,0.000247085,-0.37085805
the system,116,486,0.000118945,0.000172782,-0.370770011
what i,150,628,0.000153808,0.000223265,-0.37064601
to provide,183,765,0.000187646,0.000271971,-0.369497488
are to,51,214,5.2294658869635565e-05,7.608090884689429e-05,-0.369019517
is based,51,214,5.2294658869635565e-05,7.608090884689429e-05,-0.369019517
p l,52,218,5.3320044337667636e-05,7.750298190945306e-05,-0.368243311
at least,422,1760,0.000432713,0.000625712,-0.368105082
may also,61,255,6.254851354995626e-05,9.065715773812169e-05,-0.366251463
in an,178,741,0.000182519,0.000263439,-0.365294635
reason for,52,217,5.3320044337667636e-05,7.714746364381336e-05,-0.363704302
the public,62,258,6.357389901798833e-05,9.172371253504077e-05,-0.361813949
i look,50,208,5.12692734016035e-05,7.394779925305613e-05,-0.360383169
the process,123,508,0.000126122,0.000180603,-0.356674021
for the,2124,8743,0.002177919,0.003108296,-0.355567637
hesitate to,68,281,6.972621182618076e-05,9.990063264475371e-05,-0.355319946
rights reserved,291,1198,0.000298387,0.000425911,-0.354837662
that we,355,1461,0.000364012,0.000519412,-0.354691369
i m,406,1669,0.000416307,0.00059336,-0.353664208
nbsp nbsp,482,1978,0.000494236,0.000703215,-0.352049887
across the,68,280,6.972621182618076e-05,9.954511437911402e-05,-0.351790275
and of,71,292,7.280236823027697e-05,0.000103811,-0.35077109
information on,262,1074,0.000268651,0.000381827,-0.350453687
are more,51,210,5.2294658869635565e-05,7.465883578433551e-05,-0.350398114
following information,51,210,5.2294658869635565e-05,7.465883578433551e-05,-0.350398114
following the,55,226,5.639620074176385e-05,8.03471280345706e-05,-0.348747417
group of,71,291,7.280236823027697e-05,0.000103456,-0.347373341
interest to,72,295,7.382775369830904e-05,0.000104878,-0.347097579
note that,156,637,0.00015996,0.000226465,-0.345840262
with an,137,559,0.000140478,0.000198735,-0.34484716
have no,77,314,7.895468103846938e-05,0.000111633,-0.342672409
wanted to,167,678,0.000171239,0.000241041,-0.340223507
so i,188,763,0.000192772,0.00027126,-0.340074471
email or,62,252,6.357389901798833e-05,8.959060294120261e-05,-0.338540198
to an,107,434,0.000109716,0.000154295,-0.338355488
or not,112,453,0.000114843,0.00016105,-0.335666223
and now,55,223,5.639620074176385e-05,7.928057323765152e-05,-0.335549552
a while,55,223,5.639620074176385e-05,7.928057323765152e-05,-0.335549552
be considered,118,477,0.000120995,0.000169582,-0.335233329
is currently,60,243,6.15231280819242e-05,8.639093855044537e-05,-0.334855062
in addition,246,991,0.000252245,0.000352319,-0.333013494
experience in,67,270,6.870082635814869e-05,9.598993172271708e-05,-0.330395003
only the,73,294,7.485313916634111e-05,0.000104522,-0.330123878
there are,606,2423,0.000621384,0.000861421,-0.326186657
of their,261,1040,0.000267626,0.000369739,-0.322179686
o html,51,204,5.2294658869635565e-05,7.252572619049736e-05,-0.321799244
html n,51,204,5.2294658869635565e-05,7.252572619049736e-05,-0.321799244
be interested,80,319,8.20308374425656e-05,0.00011341,-0.320579269
of some,99,394,0.000101513,0.000140074,-0.319294776
the actual,59,235,6.0497742613892126e-05,8.354679242532783e-05,-0.318304669
added to,55,219,5.639620074176385e-05,7.785850017509275e-05,-0.317676997
sie ihr,54,215,5.537081527373178e-05,7.643642711253398e-05,-0.31750574
of it,155,615,0.000158935,0.000218644,-0.317240936
i know,177,702,0.000181493,0.000249574,-0.317040513
there is,745,2951,0.000763912,0.001049134,-0.316912415
the largest,71,282,7.280236823027697e-05,0.000100256,-0.316262633
included in,85,337,8.715776478272595e-05,0.00011981,-0.315088221
could be,232,918,0.000237889,0.000326366,-0.315077299
of time,81,321,8.305622291059767e-05,0.000114121,-0.314501009
intended to,61,241,6.254851354995626e-05,8.567990201916599e-05,-0.310418439
while the,68,268,6.972621182618076e-05,9.527889519143769e-05,-0.308432887
de la,253,992,0.000259423,0.000352674,-0.306070521
all rights,308,1207,0.000315819,0.000429111,-0.305712499
got a,56,220,5.742158620979592e-05,7.821401844073244e-05,-0.304467835
at http,290,1135,0.000297362,0.000403513,-0.304377651
the number,141,552,0.000144579,0.000196246,-0.303730794
available in,75,294,7.690391010240524e-05,0.000104522,-0.303446824
5 00,143,559,0.00014663,0.000198735,-0.302280069
can you,116,453,0.000118945,0.00016105,-0.300872615
in fact,160,623,0.000164062,0.000221488,-0.298553435
short term,70,273,7.17769827622449e-05,9.705648651963616e-05,-0.298143971
in place,52,203,5.3320044337667636e-05,7.217020792485767e-05,-0.297895043
that was,138,537,0.000141503,0.000190913,-0.297679335
have not,118,459,0.000120995,0.000163183,-0.296996915
sure that,92,358,9.433546305895043e-05,0.000127276,-0.296778738
to show,64,249,6.562466995405247e-05,8.852404814428353e-05,-0.295432355
reference to,83,322,8.510699384666181e-05,0.000114477,-0.293479713
a whole,52,202,5.3320044337667636e-05,7.181468965921797e-05,-0.293024416
the wall,59,229,6.0497742613892126e-05,8.141368283148968e-05,-0.292751008
to have,439,1695,0.000450144,0.000602603,-0.291130392
only one,77,298,7.895468103846938e-05,0.000105944,-0.29084949
to develop,62,240,6.357389901798833e-05,8.53243837535263e-05,-0.290301815
